Supercharger,Street Address ?,City,State,Zip,Country,Stalls,GPS,Elev.(m),Status,Open Date,Tesla,Discuss
"Dugopolje, Croatia",null,Dugopolje,,,Croatia,6,"43.587987, 16.577041",301,Open,null,SC,forum
"Cranberry, PA",null,Cranberry Township,PA,16066,USA,6,"40.683982, -80.10839",312,Open,null,SC,thread
"Verona, Italy",null,Verona,,37135,Italy,6,"45.412326, 10.970212",61,Open,null,SC,thread
"Gallup, NM",null,Gallup,NM,87301,USA,4,"35.505278, -108.828094","1,970",Open,null,SC,thread
"Sandy, OR",null,Sandy,OR,97055,USA,8,"45.403531, -122.294242",236,Open,null,SC,thread
"Kai Tak Cruise Terminal, Hong Kong, China",null,Hong Kong,Hong Kong,,China,6,"22.306989, 114.212648",5,Open,null,SC,forum
"Fort Stockton, TX",null,Fort Stockton,TX,79735,USA,8,"30.90069, -102.905559",920,Permit,null,SC,thread
"Cornwall, ON",null,Cornwall,ON,K6J 4P3,Canada,6,"45.023665, -74.747845",56,Open,null,SC,thread
"Edison, NJ",null,Edison,NJ,8837,USA,8,"40.544814, -74.333248",30,Open,null,SC,thread
"Hamburg, Hotel Lindtner, Germany",null,Hamburg,,21075,Germany,4,"53.460761, 9.939778",61,Open,null,SC,thread
"Page, AZ",null,Page,AZ,86040,USA,8,"36.924902, -111.468041","1,239",Open,null,SC,thread
"Uddevalla, Sweden",null,Uddevalla,,451 98,Sweden,12,"58.351686, 11.811694",41,Open,null,SC,thread
"Fountain Valley, Changsha, China",null,Changsha,Hunan,,China,6,"28.347987, 112.97953",57,Open,null,SC,forum
"West Hartford, CT",null,West Hartford,CT,6110,USA,8,"41.722672, -72.759717",52,Open,null,SC,thread
"Xi'an Yanta, China",null,Xi'an,Shanxi,,China,4,"34.225265, 108.887777",410,Open,null,SC,forum
Changchun Jiatai,null,Changchun,Jilin,130033,China,4,"43.880538, 125.421998",210,Open,null,SC,forum
"Geiselwind, Germany",null,Geiselwind,,,Germany,6,"49.768301, 10.471644",357,Open,null,SC,thread
"Blankenfelde, Germany",null,Blankenfelde-Mahlow,,15827,Germany,8,"52.308961, 13.444752",42,Open,null,SC,thread
"Saint-Laurent, QC",null,Saint-Laurent,QC,H4R 1Y8,Canada,12,"45.500503, -73.707943",33,Open,null,SC,thread
"Winnemucca, NV",null,Winnemucca,NV,89445,USA,4,"40.958847, -117.746497","1,308",Open,null,SC,thread
"Milford, CT (north)",null,Milford,CT,6460,USA,2,"41.245814, -73.008988",19,Open,null,SC,forum
"Loveland, CO",null,Loveland,CO,80538,USA,10,"40.44146, -104.991205","1,546",Open,null,SC,thread
